Name,Sex,Age,Pclass,Fate
Mr. Owen Harris Braund,Male,18-30,3rd Class,Died
Mrs. John Bradley (Florence Briggs Thayer) Cumings,Female,31-60,1st Class,Survived
Miss. Laina Heikkinen,Female,18-30,3rd Class,Survived
Mrs. Jacques Heath (Lily May Peel) Futrelle,Female,31-60,1st Class,Survived
Mr. William Henry Allen,Male,31-60,3rd Class,Died
Mr. James Moran,Male,18-30,3rd Class,Died
Mr. Timothy J McCarthy,Male,31-60,1st Class,Died
Master. Gosta Leonard Palsson,Male,17 & Below,3rd Class,Died
Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,Female,18-30,3rd Class,Survived
Mrs. Nicholas (Adele Achem) Nasser,Female,17 & Below,2nd Class,Survived
Miss. Marguerite Rut Sandstrom,Female,17 & Below,3rd Class,Survived
Miss. Elizabeth Bonnell,Female,31-60,1st Class,Survived
Mr. William Henry Saundercock,Male,18-30,3rd Class,Died
Mr. Anders Johan Andersson,Male,31-60,3rd Class,Died
Miss. Hulda Amanda Adolfina Vestrom,Female,17 & Below,3rd Class,Died
Mrs. (Mary D Kingcome) Hewlett,Female,31-60,2nd Class,Survived
Master. Eugene Rice,Male,17 & Below,3rd Class,Died
Mr. Charles Eugene Williams,Male,18-30,2nd Class,Survived
Mrs. Julius (Emelia Maria Vandemoortele) Vander Planke,Female,31-60,3rd Class,Died
Mrs. Fatima Masselmani,Female,18-30,3rd Class,Survived
Mr. Joseph J Fynney,Male,31-60,2nd Class,Died
Mr. Lawrence Beesley,Male,31-60,2nd Class,Survived
Miss. Anna McGowan,Female,17 & Below,3rd Class,Survived
Mr. William Thompson Sloper,Male,18-30,1st Class,Survived
Miss. Torborg Danira Palsson,Female,17 & Below,3rd Class,Died
Mrs. Carl Oscar (Selma Augusta Emilia Johansson) Asplund,Female,31-60,3rd Class,Survived
Mr. Farred Chehab Emir,Male,18-30,3rd Class,Died
Mr. Charles Alexander Fortune,Male,18-30,1st Class,Died
Miss. Ellen O'Dwyer,Female,18-30,3rd Class,Survived
Mr. Lalio Todoroff,Male,18-30,3rd Class,Died
Don. Manuel E Uruchurtu,Male,31-60,1st Class,Died
Mrs. William Augustus (Marie Eugenie) Spencer,Female,31-60,1st Class,Survived
Miss. Mary Agatha Glynn,Female,18-30,3rd Class,Survived
Mr. Edward H Wheadon,Male,60 Above,2nd Class,Died
Mr. Edgar Joseph Meyer,Male,18-30,1st Class,Died
